c#	cname	period	credit	teacher
Math-37	社会心理学研究方法	112	7.5	祖进
AE-21	电影美学	112	9.5	臧琬
CE-64	电磁学	160	9.0	巴礼诚
IE-71	城市规划与土地管理研究	32	2.0	居友馨
BE-46	临床诊断学	128	6.0	郑忠欢
Bio-63	线性代数	48	7.0	吕玉琼
Bio-19	儿科学	160	7.5	苍翰
IE-39	创业管理	64	2.0	沈友峰
AE-93	创业融资	80	6.0	郭南彪
CE-56	灾害预测与预警	112	8.5	宋爽
Math-75	心理学与心理健康研究	16	2.0	韩智冰
EE-65	人力资源管理与招聘研究	32	9.0	公羊电松
Bio-58	驱动程序开发上	80	2.0	沃飞
Chem-05	飞行器材料与制造	112	0.5	袁友广
AE-32	虚拟化技术上	16	4.0	宁江
EE-75	城市与区域规划研究	48	4.0	程都进
Ling-26	交通运输规划与管理研究	48	8.5	姜进
Econ-82	音乐教育	48	4.0	辕令庆
EE-52	城市与区域规划研究	128	2.0	曹惠
AE-00	外语教育学	128	5.0	孙言
Phys-00	文艺美学	112	6.5	衡上仁
Stat-33	飞行器测试与验证	112	7.0	狄桂
AE-43	生物化学基础	112	0.5	和好龙
Math-03	金融市场与风险管理研究	144	9.0	粱电坚
CE-94	社会学概论	96	4.0	文长易春
CE-90	电力市场与经济	64	2.5	冀滢
Chem-79	媒介文化与社会	144	8.0	宰父凯维
EE-72	服务管理与客户关系研究	112	3.0	伊被政
ChE-00	经济学与政策研究	128	4.0	元友树
ChE-04	传播心理学	112	4.5	羊怡
AE-02	计算机图形学	48	5.5	水加琰
Econ-73	计算机组成原理	128	4.0	巫马孝亨
Bio-08	自然语言	160	8.5	席加澜
AE-69	电子商务运营管理	48	0.5	诸葛伦
ChE-47	中国现代文学史	16	4.5	耿智豪
Bio-92	化学生物学	112	0.5	侯器月
Stat-11	人力资源发展与管理研究	160	7.5	梅丹
ME-13	编译原理与技术上	128	2.0	周贝涛
Stat-20	森林生态学	48	2.5	危国
CE-68	信息技术与管理研究	16	5.5	金加菁
Phys-42	通信原理	112	7.5	元龙
CE-10	电机与变压器	32	6.0	魏卡利
ChE-60	地球物理学	16	4.5	向中云
Ling-38	数量经济学	128	3.0	慕容孝伟
Ling-22	计算机安全下	128	7.5	桓璧
EE-31	社会工程与人机交互研究	32	6.5	皇甫好峰
Bio-81	网络安全上	80	6.0	终卡羽
AE-85	社会工作与社会政策研究	112	9.0	倪义松
Phys-14	国际关系史	64	5.0	游全
EE-49	工业工程统计学	16	8.5	瞿梦
Chem-47	组织行为学与领导研究	160	6.0	呼延贝榕
Phys-27	线性代数	160	5.5	颜礼红
Chem-80	英美文学史	160	5.0	邓笑军
IE-37	政治与公共管理研究	96	9.5	尹中发
AE-56	运动生理学	48	6.0	弘启
CE-29	操作系统内核下	96	9.5	戈加希
Chem-85	舞蹈教育	112	6.0	富凯松
CS-42	创新创业与企业家精神研究	112	6.0	米瑶
Bio-37	计算机辅助教育上	48	4.5	臧金寒
Ling-56	企业战略与竞争研究	16	8.5	井孝娥
Phys-16	金融市场与风险管理研究	32	2.0	桓笑爱
IE-32	汽车电子技术	96	6.0	袁礼奇
Math-97	深度学习	144	1.5	马玉
BE-74	拓扑学	96	9.5	郁振
Ling-93	政治学与国际关系研究	48	2.5	吕力
BE-01	经济学与政策研究	16	1.0	终邦
ChE-11	会计学原理	160	3.5	鲜于雅
Bio-34	数学分析	64	8.0	万上永
Econ-97	病毒学	16	7.5	葛金滢
BE-93	经济学原理	128	4.5	乔贝超
ChE-08	人力资源管理与招聘研究	80	4.0	弓器叶
Math-17	免疫学	160	3.5	通九艳
Bio-55	医学影像学	160	9.0	凤智宁
CS-06	美学	160	3.5	康翰
Econ-52	云计算下	128	8.0	欧阳磊
Stat-35	政治学与国际关系研究	48	7.5	邹都梁
EE-42	数据挖掘与分析	32	7.5	迟公艳
IE-19	城市规划与土地管理研究	16	9.0	彭歌君
Math-20	虚拟现实技术	96	1.0	成好斌
ChE-31	中国近现代史	32	8.0	西门美
CS-53	信息技术与管理研究	112	3.5	楚策
Bio-68	统计心理学概论	16	4.0	陆被香
Bio-72	人力资源管理与招聘研究	80	9.5	侯玉才
AE-40	人类学与文化研究	160	1.5	柳加有
CS-51	计算机音乐下	48	9.0	柳星
AE-42	数字信号处理上	64	9.5	潘梅
IE-84	企业战略与竞争研究	160	6.5	居好发
CE-77	心理学应用案例	96	3.5	阮莲
Stat-94	信息技术与管理研究	96	4.0	卢贝全
CE-55	人力资源管理与招聘研究	64	5.0	翁震
Stat-77	组织行为学	160	3.0	邴之
BE-81	经济地理与区域经济研究	48	2.5	宁歌海
Chem-44	机器学习	64	1.5	盛枝
Stat-70	计算机程序设计实验	96	8.0	贾邦
CE-40	分布式系统	112	4.0	焦九玲
CE-17	概率论	16	3.5	祁忠莲
Math-23	微生物学	80	6.5	凌颖
EE-07	图像处理上	112	2.0	常国
Ling-46	经济学与政策研究	144	9.0	双荣
CE-34	城市与区域规划研究	144	8.5	国婵
Econ-80	电子器件与集成电路	128	5.5	褚加琼
EE-73	飞行器动力系统	112	2.0	狄上瑗
EE-37	生命伦理学	144	4.0	弓贝霞
Phys-17	数据库安全下	112	9.0	高电晓
EE-09	并行计算下	144	3.5	宗素
ChE-50	微观经济学	16	1.5	陶厚
Ling-79	舞蹈表演	32	2.0	季艺
Math-25	流体力学	144	5.5	羊舌好平
CE-04	宇宙学	96	1.0	傅雅
ChE-52	船舶动力系统	128	8.0	粱枝
CS-81	计算机安全下	64	4.0	毛筠
AE-06	网络安全下	112	9.5	姜被伟
CE-00	油画	160	1.0	鱼谦
Econ-13	影视制作技术	128	3.0	翁玉庆
ME-15	社会保障与社会福利研究	144	4.5	汤马利
Phys-34	绩效管理与激励研究	96	3.0	湛伊
