s#	sname	sex	bdate	height	dorm
09034881	楚卡壮	男	2000-2-22	1.42	南15舍538
04044242	尚歌洁	女	2000-5-19	1.48	西13舍612
07037240	余雁	女	2004-11-4	1.6	北14舍133
09042817	乐中之	男	2002-2-7	1.41	南2舍616
06098556	萧九芝	女	2001-5-20	1.56	西21舍407
08097813	包元	男	2004-4-2	1.43	西8舍416
07041139	钟金欢	女	2004-7-29	1.42	南13舍805
07051590	卜翰	男	2001-2-12	1.56	南15舍321
06069268	乔上瑗	女	2002-5-8	1.47	西17舍418
05096721	祁义瑗	女	2004-5-9	1.56	西14舍804
06051168	卞彬	男	2000-10-8	1.57	西10舍515
06097729	萧信政	男	2004-12-13	1.5	东7舍326
09049050	沃鸣	男	2003-8-18	1.44	东24舍702
05045056	盖仁	男	2003-1-7	1.81	东16舍304
08076383	通栋	男	2001-5-12	1.63	南13舍909
07051021	汤弘	男	2003-12-26	1.81	南24舍219
07042152	符好菁	女	2002-11-18	1.74	北5舍509
04077377	逄宁	女	2001-9-9	1.85	北13舍434
08034457	徐贝泽	男	2001-8-1	1.46	南23舍926
09038109	弓蓉	女	2000-7-1	1.95	北24舍326
04094287	游聪	女	2004-5-18	1.73	东7舍716
05025442	父谷器凡	女	2004-5-19	1.8	北19舍505
06000943	孙蓓	女	2002-7-22	1.97	北13舍906
06022586	都玉清	男	2004-1-4	1.62	北24舍725
08067970	强哲	男	2001-2-9	1.8	北8舍111
06007800	益智会	男	2003-6-4	1.71	西22舍702
02000745	乐成	男	2001-1-31	1.66	北10舍439
04010305	徐无月	女	2002-10-6	1.79	北9舍932
06074149	陆素	女	2000-4-23	1.63	南8舍327
09030035	强礼韵	女	2001-12-17	1.78	东15舍223
04053635	翁言	男	2002-9-22	1.95	西3舍311
04054420	邵被若	男	2002-5-3	1.8	东24舍419
04031799	董孝环	女	2002-10-15	1.76	南25舍103
06042178	微生中梦	女	2000-8-27	1.99	东17舍402
07016094	诸葛马富	男	2001-2-10	1.84	南11舍337
05089500	山钰丹	女	2001-9-15	1.98	东13舍317
06033568	干芝	女	2000-9-15	1.58	南20舍836
06021887	薛智彩	女	2001-9-3	1.97	北3舍114
02085695	倪梁	男	2001-1-14	1.75	南12舍808
02023549	万松	男	2004-4-28	1.7	东13舍526
06060368	杜嘉	女	2002-4-18	1.83	南19舍937
02041316	朱滢	女	2002-6-10	1.54	北17舍827
05016981	单金裕	男	2001-10-5	1.96	东15舍315
08064237	舒泽	男	2001-12-22	1.46	北8舍226
06047059	沈茂	男	2003-6-2	1.58	北21舍524
02005780	冯凯心	男	2000-1-22	1.48	东5舍121
06069445	庞贵	男	2004-9-6	1.76	北2舍213
06077450	狐钟凯博	男	2003-8-26	1.46	西20舍912
07036229	夏侯忠海	男	2002-1-29	1.78	南15舍611
09091738	狄姣	女	2004-5-6	1.85	南11舍439
05090571	丁山	男	2003-3-29	1.47	北11舍128
07086227	乔颖	女	2000-3-9	1.69	东21舍122
02092333	百里承	男	2002-8-1	1.98	西18舍315
08075881	莫慧	女	2002-2-16	1.96	南6舍637
06095080	薛叶	女	2002-5-4	1.53	西25舍412
08064914	郑洁	女	2003-5-3	1.72	西10舍616
07087246	郭建	男	2000-10-10	1.58	西1舍323
04042062	贝飘	女	2002-2-3	1.41	北10舍204
05058612	凌榕	男	2004-6-19	1.48	东9舍913
07029948	冯真	女	2000-6-11	1.46	南6舍216
08057433	韩家	男	2001-9-18	1.54	北13舍737
07036616	甫尉希	女	2004-6-8	1.98	北8舍902
04095798	吴礼敬	男	2003-1-15	1.63	东13舍212
05091532	楚亮	男	2000-9-7	1.84	西10舍131
09048880	童器民	男	2002-5-26	1.48	东2舍918
02050078	娄枝	女	2002-12-31	1.46	北1舍634
04055527	靳友宜	女	2003-3-1	1.75	北24舍619
09064393	牧无韵	女	2003-4-16	1.64	西2舍832
08067093	仇婵	女	2004-11-9	1.41	北10舍138
07091200	强电蓉	女	2001-10-13	1.58	东5舍109
09021942	傅琳	女	2000-11-1	1.51	西24舍625
05075967	公西卿	女	2000-8-26	1.62	南2舍924
02013800	姚无璐	女	2001-2-23	1.93	西24舍805
06011447	井泽	男	2003-12-26	1.58	东4舍736
08044993	丁仁斌	男	2004-8-24	1.6	南8舍612
09047751	人东宏	男	2002-11-19	1.67	东2舍702
08019139	袁仪	女	2003-9-22	1.57	南24舍539
04015003	詹卡盛	男	2002-10-27	1.75	南20舍335
06061680	茅忠伦	男	2004-8-9	1.62	东13舍307
06006687	文电敬	男	2004-12-3	1.82	南6舍422
04060568	杜卡宏	男	2001-1-12	1.98	北7舍738
09085578	阮中振	男	2002-10-11	1.53	北10舍329
09061976	丁被羽	女	2000-9-7	1.65	南18舍605
04084001	褚保	男	2001-1-5	1.82	南19舍408
06017522	燕菊	女	2002-3-29	1.43	东20舍606
